name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Russia, Krasnodar",2016-01-22,1.2,-2,0,1.2,-6.3,-2.3,-0.8,94.4,8.4,100,100,"rain,snow",1,0.6,,16.2,320.5,1024.2,97.4,4.9,83.5,7.3,4,,2016-01-22T07:54:41,2016-01-22T17:16:45,0.44,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-23,-1.3,-5.5,-4.1,-1.6,-10,-6.9,-7.5,78.2,0.7,100,29.17,"rain,snow",0,0.4,,14.4,338.7,1028.7,53.1,8.9,92.3,7.9,4,,2016-01-23T07:53:51,2016-01-23T17:18:07,0.48,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-24,-4.7,-10,-7.4,-7.2,-16.1,-12.4,-10,81.7,0,0,0,,0,0,,18,6.2,1027.7,93.3,8.1,71.5,6.2,3,,2016-01-24T07:53:00,2016-01-24T17:19:29,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-25,-6.9,-13.5,-9.4,-10,-19.7,-15.2,-11.7,83,1.1,100,12.5,snow,0,0,,19.8,25.9,1028.2,97.4,5.2,61.6,5.4,3,,2016-01-25T07:52:07,2016-01-25T17:20:53,0.54,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-26,-6.4,-16,-11.8,-10.3,-23.4,-17,-14.4,81.2,1.6,100,41.67,snow,3,1.9,,14.4,41.7,1028.4,36,8.6,106.3,9.1,4,,2016-01-26T07:51:11,2016-01-26T17:22:16,0.57,"Snow, Partially cloudy",Clearing in the afternoon with a chance of snow throughout the day.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-27,3,-16,-6.5,0.3,-22.7,-10,-10.1,76.9,0.3,100,8.33,rain,0,1.1,,34.2,172.2,1028.6,62.9,8.3,90.2,7.8,4,,2016-01-27T07:50:13,2016-01-27T17:23:41,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-28,5,2,3.6,1.8,-4.2,-1.2,0.2,78.5,7.9,100,100,rain,0,0,50.4,39.6,223.8,1019.9,93.7,9.6,18.7,1.6,1,,2016-01-28T07:49:14,2016-01-28T17:25:05,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-29,6.6,0,4.6,4.6,-2.9,1.2,2.9,88.8,5.3,100,58.33,rain,0,0,39.6,32.4,234.9,1021.8,74.3,6.1,16.5,1.4,1,,2016-01-29T07:48:12,2016-01-29T17:26:30,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-30,6,-2,1.6,4.3,-4.1,-0.6,-0.2,88.6,0,0,0,,0,0,,18,269.5,1028.2,34.7,6.5,93.3,7.9,5,,2016-01-30T07:47:08,2016-01-30T17:27:56,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-01-31,7.8,-2.6,2,6.1,-4.8,0.3,0.3,88.7,0.1,100,4.17,rain,0,0,,27,165.7,1023.6,63.9,8.4,86.8,7.5,4,,2016-01-31T07:46:03,2016-01-31T17:29:21,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-01,10.3,0,6.2,10.3,-4,3.1,3.2,82.2,36,100,70.83,"rain,snow",0,0,43.2,36,211.7,1014.3,93.7,8.1,12.2,1.1,0,,2016-02-01T07:44:55,2016-02-01T17:30:47,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-02,7.1,-1,2.8,4.8,-4.2,0,0.7,87.4,4.4,100,41.67,"rain,snow",0,0,,19.8,220.5,1023.8,62.6,7.9,115.2,9.8,5,,2016-02-02T07:43:46,2016-02-02T17:32:13,0.8,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-03,10.1,6,7.9,10.1,0.8,4.4,0.1,58.8,0,0,0,,0,0,57.6,45,210.2,1020.8,61.7,10,104.4,8.8,5,,2016-02-03T07:42:34,2016-02-03T17:33:40,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-04,16.6,7,11.8,16.6,3.8,10.8,-1.3,41.5,0,0,0,,0,0,50.4,32.4,208.5,1014.4,94.5,10,95.2,8.1,4,,2016-02-04T07:41:21,2016-02-04T17:35:06,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-05,11.4,6.5,9.3,11.4,3.4,8.4,6.3,82,0,0,0,,0,0,,27,298.4,1012.5,82.2,8.2,65.6,5.7,3,,2016-02-05T07:40:07,2016-02-05T17:36:32,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-06,5.1,0,2.7,3,-4.9,-1,2.2,96.6,9.7,100,62.5,"rain,snow",0,0,,21.6,14.6,1014.3,98.3,2.7,33.2,2.8,2,,2016-02-06T07:38:50,2016-02-06T17:37:59,0.93,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-07,2.3,-4,-1.3,-0.6,-10.2,-5.9,-2.9,88.5,1.9,100,33.33,"rain,snow",4.8,2.3,,25.2,34.8,1026.7,47.9,8,119.7,10.3,5,,2016-02-07T07:37:32,2016-02-07T17:39:25,0.96,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,snow,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-08,3.4,-5.5,-1.2,1.1,-11.8,-5,-3.5,84.5,0.8,100,25,"rain,snow",0,0.6,,21.6,64.6,1030,47.9,9.9,122.5,10.5,5,,2016-02-08T07:36:13,2016-02-08T17:40:52,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-09,9.7,-2,2.6,8.5,-5.9,0.7,-0.1,83.6,0,0,0,,0,0,,16.2,75.8,1027.6,10.3,7.9,112,9.5,5,,2016-02-09T07:34:51,2016-02-09T17:42:18,0.03,Clear,Clear conditions throughout the day.,clear-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-10,10.2,-2,2.9,10.2,-5.3,0.6,0,83.3,0,0,0,,0,0,,23.4,73.2,1022.1,0,8.9,138.8,12,5,,2016-02-10T07:33:29,2016-02-10T17:43:45,0.06,Clear,Clear conditions throughout the day.,clear-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-11,10.2,-2,3.8,10.2,-6.7,0.7,-0.3,76,0.5,100,12.5,rain,0,0,,25.2,91.9,1015,52.4,9.8,108.6,9.5,5,,2016-02-11T07:32:05,2016-02-11T17:45:11,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-12,11.4,3.5,8,11.4,2.2,6.4,3.9,75.8,2.3,100,41.67,rain,0,0,39.6,30.6,121.1,1017.7,86.9,9.8,55,4.5,2,,2016-02-12T07:30:39,2016-02-12T17:46:37,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-13,13.3,3,9,13.3,2.8,8,5.4,78.6,1.3,100,20.83,rain,0,0,,19.8,76.6,1014.8,91.1,10,74.2,6.4,5,,2016-02-13T07:29:12,2016-02-13T17:48:03,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-14,17.5,8,12,17.5,6.4,11.5,6.1,68.8,0.7,100,8.33,rain,0,0,46.8,39.6,186.5,1011.9,75.5,10,106,9.2,5,,2016-02-14T07:27:43,2016-02-14T17:49:29,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-15,20.3,7.5,13,20.3,6.3,12.7,7.7,73,4.5,100,25,rain,0,0,39.6,28.8,200.1,1018.7,72.1,9.6,77.4,6.6,3,,2016-02-15T07:26:14,2016-02-15T17:50:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-16,22,10.5,15.7,22,10.5,15.7,7,58.2,0.9,100,16.67,rain,0,0,54,36,212.2,1025.6,61.2,10,141.1,12.3,5,,2016-02-16T07:24:43,2016-02-16T17:52:20,0.27,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-17,16.1,5,11.4,16.1,1.9,10.9,6.1,70.9,0,0,0,,0,0,,23.4,326.7,1029.2,67.9,10,102.6,9,5,,2016-02-17T07:23:10,2016-02-17T17:53:45,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-18,7.8,-2,2.4,6.1,-6.7,-1,-5.5,59.1,0,0,0,,0,0,,23.4,42.2,1031.2,16.7,10,162.6,13.9,6,,2016-02-18T07:21:37,2016-02-18T17:55:10,0.34,Clear,Clear conditions throughout the day.,clear-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-19,3.2,-3,0.1,0,-8,-4.4,-5.5,66.6,0,0,0,,0,0,43.2,37.8,64.3,1021.3,38.7,10,156.2,13.4,6,,2016-02-19T07:20:02,2016-02-19T17:56:35,0.38,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-20,3.4,-3.5,-0.6,0.8,-10.9,-5.7,-5.6,69.9,0,0,0,,0,0,36,36,59.3,1021.5,68.4,10,143.2,12.4,6,,2016-02-20T07:18:27,2016-02-20T17:57:59,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-21,5.6,-1.4,2,4.8,-5.9,-0.4,-4.3,63.7,2.1,100,66.67,"rain,snow",0,0,,16.2,63,1017.8,89.5,10,108.7,9.3,5,,2016-02-21T07:16:50,2016-02-21T17:59:24,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-22,10,1.9,4.7,10,-1.1,2.7,1.8,82,2.6,100,37.5,"rain,snow",0,0,,25.2,207.1,1019.8,70.9,7.6,153,13.1,6,,2016-02-22T07:15:12,2016-02-22T18:00:48,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-23,15.2,1.5,7.8,15.2,-1.1,6.7,2.6,71.9,0,0,0,,0,0,,14.4,142.8,1019.4,12.3,9.2,166,14.4,6,,2016-02-23T07:13:33,2016-02-23T18:02:11,0.52,Clear,Clear conditions throughout the day.,clear-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-24,16.5,3,9.7,16.5,1.3,9.1,3.8,69.2,0.3,100,8.33,rain,0,0,,27,205.7,1011.3,58.8,9.8,130.6,11.3,5,,2016-02-24T07:11:53,2016-02-24T18:03:35,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-25,12,4,8.6,12,-0.6,7.2,4.1,74.3,11.8,100,70.83,rain,0,0,39.6,32.4,241.5,1013.6,95.1,9.5,21.7,2,1,,2016-02-25T07:10:12,2016-02-25T18:04:58,0.59,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-26,10,3,6,10,0.3,4,2.7,79.8,4.1,100,41.67,rain,0,0,,21.6,82.8,1020.7,88.5,10,127,10.9,5,,2016-02-26T07:08:31,2016-02-26T18:06:21,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-27,20,4.5,11.7,20,1.9,10.9,6.2,71,0,0,0,,0,0,,18,31.5,1015.3,76.1,10,167.4,14.4,6,,2016-02-27T07:06:48,2016-02-27T18:07:43,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-28,10.6,7,8.6,10.6,4.9,7.5,7.2,90.8,4.1,100,29.17,rain,0,0,,16.2,285,1024.9,85.7,6.3,81.8,7.1,3,,2016-02-28T07:05:05,2016-02-28T18:09:05,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-02-29,16.3,7,10.6,16.3,5.5,10.3,7.7,83.5,0,0,0,,0,0,,14.4,89.1,1030.5,68.3,6.6,146.7,12.7,6,,2016-02-29T07:03:21,2016-02-29T18:10:27,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-01,21.1,4.5,12.2,21.1,2.5,11.6,6.2,70.9,0,0,0,,0,0,,21.6,77.3,1019.9,53.5,8.7,148.4,12.7,6,,2016-03-01T07:01:36,2016-03-01T18:11:49,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-02,19.1,5,12,19.1,2.9,11.3,5.2,65.6,0,0,0,,0,0,,16.2,59.4,1009.5,71.8,9.7,117.3,10.3,5,,2016-03-02T06:59:50,2016-03-02T18:13:10,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-03,12,6.5,9.3,12,4,8.2,5.6,77.8,0.4,100,12.5,rain,0,0,,19.8,75.8,1003.8,90.9,10,86.2,7.4,4,,2016-03-03T06:58:04,2016-03-03T18:14:32,0.81,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-04,19,9.5,13.9,19,8.2,13.8,6.4,62.3,0.9,100,20.83,rain,0,0,39.6,30.6,191.2,1005.8,69.5,10,166.4,14.4,6,,2016-03-04T06:56:17,2016-03-04T18:15:52,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-05,16.7,7.5,12.1,16.7,5.5,11.8,7.1,72.3,1.7,100,58.33,rain,0,0,,21.6,168,1007.4,72.6,9.8,117.3,10.2,5,,2016-03-05T06:54:30,2016-03-05T18:17:13,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-06,13.1,5.4,8.9,13.1,3.5,7.9,6.3,84.2,0,0,0,,0,0,,12.6,175.5,1016.4,59.8,6.9,174.9,15.1,7,,2016-03-06T06:52:42,2016-03-06T18:18:33,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-07,14,2,7.2,14,-0.7,6,5.5,89.7,0,0,0,,0,0,,21.6,67.3,1019.3,52.3,4.3,183.7,15.7,7,,2016-03-07T06:50:53,2016-03-07T18:19:53,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-08,16.3,5.5,10.1,16.3,2.2,8.7,5.4,74.3,0,0,0,,0,0,39.6,34.2,76.9,1015.8,36.8,9.8,199.8,17.2,7,,2016-03-08T06:49:04,2016-03-08T18:21:13,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-09,16.4,3.5,9,16.4,0,7.1,3,68,0,0,0,,0,0,,28.8,72.5,1015.7,17.7,10,200.5,17.2,7,,2016-03-09T06:47:14,2016-03-09T18:22:32,0,Clear,Clear conditions throughout the day.,clear-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-10,11,3,6.4,11,-0.9,3.3,3.1,79.8,0,0,0,,0,0,36,30.6,69.9,1013.9,74.6,9.9,200,17.1,7,,2016-03-10T06:45:24,2016-03-10T18:23:52,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-11,11,3,7.1,11,0.1,5,3.9,80.2,0,0,0,,0,0,,23.4,72,1014.9,85.8,9.7,82.7,7.3,3,,2016-03-11T06:43:34,2016-03-11T18:25:11,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-12,11.5,7,8.5,11.5,5.3,7.7,5.9,84.2,0,0,0,,0,0,,18,277.7,1020.5,89.4,8.8,66.7,5.8,3,,2016-03-12T06:41:43,2016-03-12T18:26:30,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-13,10.4,3.5,7.3,10.4,3.1,6,4.4,82.3,0,0,0,,0,0,,14.4,320,1020.2,87.9,9.8,117.9,10.1,5,,2016-03-13T06:39:52,2016-03-13T18:27:48,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-14,9.5,1.5,5,7.9,-0.7,3,1.4,78.7,0,0,0,,0,0,,28.8,318.4,1011.8,54.9,8.4,180.8,15.7,6,,2016-03-14T06:38:00,2016-03-14T18:29:07,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-15,4.1,0.5,2.5,1.5,-4.4,-1.5,-2.1,73,0,0,0,,0,0,,30.6,34.7,1016.1,95.8,9.2,154.5,13.4,6,,2016-03-15T06:36:09,2016-03-15T18:30:25,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"34929099999,34927099999,URKK"
"Russia, Krasnodar",2016-03-16,7.2,-1,2.4,5.5,-4.5,0.3,-7,51.2,0,0,0,,0,0,,18,321.8,1022,27.4,10,224,19.3,7,,2016-03-16T06:34:17,2016-03-16T18:31:43,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,34927099999,URKK"
